point,pgrass_250,ed_250,pgrass_3000,ed_3000
4LE1-08,0.6103420130615872,0.013196307171230942,0.2705500951202669,0.008933211722820246
4LE1-09,0.7924524716212844,0.006403229353208452,0.28014173886336624,0.008820644682411909
4LE1-10,0.9333112575353291,0.0049561449991729675,0.284579524703907,0.008715530608406312
4LE1-11,0.8383911501669695,0.0034106251233985627,0.2832824492876538,0.008655381780777247
4LE1-12,0.7741801675367973,0.0035991362792806743,0.28417633399837083,0.008677036055799907
4LE1-13,0.7390830424771908,0.006397331647675776,0.2764910748380983,0.008755997139295367
5LE1-01,0.7310025563080823,0.0032627931205963965,0.1760417628493843,0.010411065121384363
5LE1-02,0.9999999999999822,0,0.17475902246842415,0.010276971650742744
5LE1-03,1.000000000000044,0,0.17264131207495764,0.010359783170622201
5LE1-04,0.9916471542355161,6.085153189172316e-4,0.17182189071312406,0.010496379343945109
5LE1-05,1.0000000000000475,0,0.17113560644511347,0.01039118031908757
5LE1-06,0.9974072926346044,3.640745550420812e-4,0.16861375426240932,0.010429794044360454
5LE1-07,0.9605317441185568,0.002822445167444331,0.1677801002135262,0.010564625909884561
5LE1-10,0.803997717249473,0.00302272793901985,0.17516256251378,0.010442725217337566
2LE1b-02,0.9311243914715929,0.0022775668766688456,0.7118395370653707,0.004329665579936548
2LE1b-12,0.9502650349888236,0.002334097785716621,0.7841341587979328,0.004789639084693993
2LE1b-13,1.0000000000000344,0,0.7890718202385927,0.004793660918107891
2LE1b-15,0.9160612177271138,0.0023469442420010938,0.7725874174321979,0.004999363898712989
2LE1b-16,0.9999999999999893,0,0.784600146803773,0.004920610283679738
2LE1b-18,1.0000000000000557,0,0.7578349219881337,0.005235744976969712
2LE1b-20,0.9775800149407122,0.0010464252875229075,0.7726218200073087,0.004946907037298991
2LE1b-21,0.9999999999999941,0,0.774134892127527,0.005222745705365749
2LE1b-22,1.000000000000001,0,0.7515897621653416,0.005348628542256184
2LE1b-24,1.0000000000000664,0,0.7643783845521247,0.005451034960065403
2LE1b-26,0.9016593937221095,0.002410256187884132,0.7572806214829128,0.005475041037326333
2LE1b-30,1.000000000000013,0,0.7151803121381102,0.005701927185032827
2SI1-01,0.5611058332755148,0.009229419220236965,0.0338621990605652,0.015298300564253398
2SI1-02,0.5913669882092167,0.01284738868097512,0.03386219906056459,0.015298300564253398
2SI1-03,0.2668510796214239,0.027812493308042235,0.03386219906056519,0.015298300564253398
2SI1-04,0.28957673097711034,0.032540498376039804,0.033862199060564604,0.015298300564253398
2SI1-05,0.33023265651728106,0.02865653399652519,0.033862199060564674,0.015298300564253398
2SI1-06,0.7931896260874687,0.007387127774212752,0.033862199060564986,0.015298300564253398
2SI1-07,0.7246031260968027,0.0052684486384080974,0.03386219906056499,0.015298300564253398
5LE4-01,0.9193620087957312,0.0074335004749986255,0.23597653110291955,0.005504477431566171
5LE4-02,1.0000000000000202,0,0.24246022292930208,0.0055045971572297275
5LE4-03,1.0000000000000497,0,0.24753156968617676,0.005500263896990059
5LE4-04,0.9999999999999893,0,0.25117371108827435,0.0054985472324351565
5LE4-05,1.0000000000000653,0,0.2524728318674721,0.005516789592644567
5LE4-06,1.0000000000000082,0,0.2500864348361911,0.005315747247482785
5LE4-07,0.9999999999999881,0,0.24774252254821885,0.005205324871708406
5LE4-08,0.9999999999999633,0,0.24660201677245616,0.005157160127513556
5LE4-09,0.9999590654860318,6.754780393308338e-5,0.24499822869582186,0.005036427797140166
5LE4-10,0.958777554931933,0.0026909920403769493,0.24035585040577262,0.004922397315314809
5LE4-11,0.9656486765027041,0.001868623384378622,0.23446602493710175,0.004743873157377928
5LE4-12,1.0000000000000355,0,0.22812860426635898,0.004552589801004306
5LE4-13,0.9372625520560094,0.002877898403624142,0.20435850362327335,0.004165840343492285
4SI2-01,0.584656693647653,0.01312805892172874,0.041264667817547104,0.015031363955322395
4SI2-02,0.8712708993653739,0.005835680452335188,0.041264667817547625,0.015031363955322395
4SI2-03,0.9834921369076556,9.472583882445883e-4,0.04126466781754794,0.015031363955322395
4SI2-04,0.7058717027596348,0.0034894934237782076,0.04126466781754787,0.015031363955322395
4SI2-05,0.5124993763896352,0.0066184401086544125,0.041264667817547576,0.015031363955322395
4SI2-06,0.3832170829603632,0.008760611030302286,0.04126466781754787,0.015031363955322395
4SI2-07,0.82737365953137,0.005775268909281172,0.041264667817547986,0.015031363955322395
4SI5-01,0.25547852548154054,0.018644402963248062,0.0017741564269539124,0.018644402963248062
4SI5-02,0.2554785254815217,0.018644402963248062,0.0017741564269539512,0.018644402963248062
1LE4-01,0.9560132132723381,0.004605968408559146,0.8366404858978383,0.004209192176529829
1LE4-02,0.9741774119691617,0.002712918687800926,0.8271618665847663,0.004082500396350503
1LE4-03,1.0000000000000298,0,0.8338664837628199,0.004099415033761975
1LE4-04,0.9999999999999929,0,0.847261000992132,0.00426051400456741
1LE4-05,1.0000000000000024,0,0.8532338259396695,0.004464899513853381
1LE4-06,0.9802641182233005,0.0018621035920297064,0.8493447793435713,0.004399234738857933
1LE4-07,0.9999999999999336,0,0.8430420243228933,0.004193077899640053
1LE4-08,0.9679150289162496,0.0035829789954515594,0.7645437787032454,0.004262170414715953
1LE4-09,0.9999999999999608,0,0.7450913894317193,0.004697192188847423
1LE4-10,0.9999999999999964,0,0.7490825496432773,0.00491417897508195
1LE4-11,1.0000000000000284,0,0.7749347546412428,0.004608993977018525
1LE4-12,0.9999999999999608,0,0.7890090788193516,0.004397090407653233
1LE4-13,0.9999999999999633,0,0.7850862238408444,0.004181378496576986
1LE4-14,1.0000000000000284,0,0.7681316798201799,0.004477192154692913
1LE4-15,0.9749133420152483,0.0032255291841544486,0.6839976533524009,0.005244825708997396
1LE4-16,1.0000000000001128,0,0.6611538556074146,0.005368781249506247
1LE4-17,1.0000000000001128,0,0.6614412575952735,0.0056184835924071985
1LE4-18,1.000000000000032,0,0.6880110000165767,0.005460485036549755
1LE4-19,1.0000000000001328,0,0.7036392722468818,0.005401295582941195
1LE4-20,1.000000000000051,0,0.7009177579741447,0.005321057515401087
1LE4-22,0.9637304794114765,0.004705577145509824,0.6885253582700829,0.0046063865548532775
1LE4-23,0.9792143383567297,0.0027100730154911118,0.6613307260072179,0.004619557016653372
1LE4-24,0.9999999999999798,0,0.651498432986996,0.004456499448187624
1LE4-25,0.9999999999998967,0,0.670265116056039,0.0041562707195418975
1LE4-26,1.000000000000006,0,0.6971119164444455,0.004067240049727338
1LE4-27,0.9760989128658173,0.003035593522582017,0.7037097893725363,0.004298402028703623
1LE4-28,0.9999999999998967,0,0.6799660083130614,0.004330188338901565
1LE4-29,0.9637376456446123,0.005624698931895229,0.6251552942561978,0.005408819351651863
1LE4-31,1.0000000000000082,0,0.7388489253128773,0.005286616264353766
1LE4-32,0.9999999999999514,0,0.7648247776797883,0.005020586667412851
1LE4-34,0.9999999999999941,0,0.8227986519189731,0.004242023165796337
1LE4-35,1.000000000000051,0,0.8335604556815612,0.0044391518986913025
1LE4-37,0.783064138929773,0.007528949622296551,0.8698369517597054,0.004715881306939376
4LE2-01,0.9089683704543984,0.0027669071951033283,0.3153870297795329,0.004510950700937119
4LE2-02,0.9999999999999253,0,0.31456258662408076,0.00464598750229614
4LE2-03,0.9999999999999691,0,0.3151648242445619,0.004574282090134288
4LE2-04,1.0000000000000926,0,0.31941317055809026,0.00422554262135273
4LE2-05,0.9999999999999869,0,0.3223029826177254,0.004153122942039223
4LE2-06,0.9971428635006737,3.413510002345812e-4,0.3197291503372203,0.00413626691865086
4LE2-07,0.9999999999999407,0,0.3175665920760896,0.0043263608652854765
4LE2-08,0.9999999999998362,0,0.3436913768472346,0.004145895595895701
4LE2-09,0.9999999999999929,0,0.355389259086081,0.004274015406417547
4LE2-10,1.0000000000000344,0,0.3551145890609514,0.004437122424285613
4LE2-11,1.0000000000000842,0,0.3540904959992066,0.0044080775007918835
4LE2-12,1.0000000000000497,0,0.3643640497218891,0.004487343734076641
4LE2-13,1.000000000000039,0,0.3603950055209121,0.004446108261180376
4LE2-14,1.000000000000039,0,0.35971716129475245,0.004375249783629752
4LE2-15,1.0000000000000107,0,0.36245978517956184,0.004484168036090952
4LE2-16,1.0000000000000107,0,0.36036640058377023,0.004337620763650451
4LE2-17,0.8966585650737567,0.0020999484208631103,0.3635925709857495,0.004501267846283904
4LE2-18,0.9815339405088397,0.0012025192144706975,0.36623888296114704,0.00450359753044036
4LE2-25,1.000000000000203,0,0.381146943491582,0.004850440684861438
4LE2-27,0.9999999999999276,0,0.38194118530467785,0.004900518055506911
4LE2-36,1.000000000000051,0,0.33376845239994346,0.0040217319980027375
4LE2-42,0.9999999999999608,0,0.3308362408182072,0.004019512951135686
4LE2-45,1.000000000000089,0,0.3018181642957959,0.005238142553330763
4LE2-52,0.9999999999998612,0,0.30114128286275904,0.005849948896165755
4LE2-74,0.9999999999999086,0,0.2981676629791294,0.0056600365748558775
4LE2-82,1.000000000000203,0,0.33574438369295667,0.004117153543418921
4LE2-84,0.9999999999999324,0,0.3455945962998186,0.00409174517001588
4LE2-85,0.9999999999999798,0,0.3480397159441298,0.004164400753614825
4LE2b-01,0.9346484560999703,0.0018281838211402078,0.3903981712565459,0.004917893465637856
4LE2b-02,1.0000000000000937,0,0.39332968726425366,0.004862001230628082
4LE2b-03,0.9762462237982862,0.0014238848473798996,0.389147974437789,0.0048701136982812225
4LE2b-04,1.000000000000006,0,0.387486639858733,0.004933900960119146
4LE2b-05,0.9999999999999407,0,0.3918816911555163,0.004912528135349168
4LE2b-06,0.9999999999999787,0,0.39082227238788886,0.004883259395418047
4LE2b-07,0.9999999999999027,0,0.3852038893309927,0.004928572284669727
4LE2b-08,0.9999999999999395,0,0.3849467716284232,0.004968927523320848
4LE2b-09,1.0000000000000095,0,0.37964443008074,0.004959719465026986
4LE2b-10,1.0000000000000664,0,0.3779730199769442,0.004954752718164653
4LE2b-11,1.0000000000000664,0,0.3792903769461958,0.0048334107694690005
4LE2b-12,0.9999999999999514,0,0.38437823267964366,0.004980046476099452
4LE2b-13,0.9999999999998612,0,0.3852957336437549,0.004889168729429973
4LE2b-14,0.9999999999999288,0,0.38849867042577474,0.004960921111028247
5SI1-01,0.8655024210485863,0.005040929000195129,0.0982154883369622,0.010465162719030552
